service id,hora,origen,tipo,hora,destino,tipo,demanda (pax)
101,410,Av. Maipu,D,435,Delta,A,15
103,440,Av. Maipu,D,465,Delta,A,15
105,460,Av. Maipu,D,485,Delta,A,15
107,480,Av. Maipu,D,505,Delta,A,30
109,500,Av. Maipu,D,525,Delta,A,35
111,520,Av. Maipu,D,545,Delta,A,30
113,540,Av. Maipu,D,565,Delta,A,30
115,560,Av. Maipu,D,585,Delta,A,30
117,580,Av. Maipu,D,605,Delta,A,30
119,600,Av. Maipu,D,625,Delta,A,30
121,620,Av. Maipu,D,645,Delta,A,15
123,640,Av. Maipu,D,665,Delta,A,15
125,660,Av. Maipu,D,685,Delta,A,15
127,680,Av. Maipu,D,705,Delta,A,15
129,700,Av. Maipu,D,725,Delta,A,15
131,720,Av. Maipu,D,745,Delta,A,15
133,740,Av. Maipu,D,765,Delta,A,15
135,770,Av. Maipu,D,795,Delta,A,15
137,800,Av. Maipu,D,825,Delta,A,15
139,830,Av. Maipu,D,855,Delta,A,15
141,860,Av. Maipu,D,885,Delta,A,15
143,890,Av. Maipu,D,915,Delta,A,15
145,920,Av. Maipu,D,945,Delta,A,15
147,950,Av. Maipu,D,975,Delta,A,15
149,970,Av. Maipu,D,995,Delta,A,15
151,990,Av. Maipu,D,1015,Delta,A,15
153,1010,Av. Maipu,D,1035,Delta,A,15
155,1030,Av. Maipu,D,1055,Delta,A,30
157,1050,Av. Maipu,D,1075,Delta,A,30
159,1070,Av. Maipu,D,1095,Delta,A,30
161,1090,Av. Maipu,D,1115,Delta,A,30
163,1110,Av. Maipu,D,1135,Delta,A,30
165,1130,Av. Maipu,D,1155,Delta,A,30
167,1150,Av. Maipu,D,1175,Delta,A,15
169,1170,Av. Maipu,D,1195,Delta,A,15
171,1190,Av. Maipu,D,1215,Delta,A,15
173,1210,Av. Maipu,D,1235,Delta,A,15
175,1230,Av. Maipu,D,1255,Delta,A,15
177,1250,Av. Maipu,D,1275,Delta,A,15
179,1280,Av. Maipu,D,1305,Delta,A,15
102,380,Delta,D,405,Av. Maipu,A,15
104,410,Delta,D,435,Av. Maipu,A,15
106,430,Delta,D,455,Av. Maipu,A,15
108,450,Delta,D,475,Av. Maipu,A,15
110,470,Delta,D,495,Av. Maipu,A,15
112,490,Delta,D,515,Av. Maipu,A,35
114,510,Delta,D,535,Av. Maipu,A,30
116,530,Delta,D,555,Av. Maipu,A,30
118,550,Delta,D,575,Av. Maipu,A,30
120,570,Delta,D,595,Av. Maipu,A,30
122,590,Delta,D,615,Av. Maipu,A,30
124,610,Delta,D,635,Av. Maipu,A,15
126,630,Delta,D,655,Av. Maipu,A,15
128,650,Delta,D,675,Av. Maipu,A,15
130,670,Delta,D,695,Av. Maipu,A,15
132,690,Delta,D,715,Av. Maipu,A,15
134,710,Delta,D,735,Av. Maipu,A,15
136,740,Delta,D,765,Av. Maipu,A,15
138,770,Delta,D,795,Av. Maipu,A,15
140,800,Delta,D,825,Av. Maipu,A,15
142,830,Delta,D,855,Av. Maipu,A,15
144,860,Delta,D,885,Av. Maipu,A,15
146,890,Delta,D,915,Av. Maipu,A,15
148,920,Delta,D,945,Av. Maipu,A,15
150,940,Delta,D,965,Av. Maipu,A,15
152,960,Delta,D,985,Av. Maipu,A,15
154,980,Delta,D,1005,Av. Maipu,A,15
156,1000,Delta,D,1025,Av. Maipu,A,15
158,1020,Delta,D,1045,Av. Maipu,A,30
160,1040,Delta,D,1065,Av. Maipu,A,30
162,1060,Delta,D,1085,Av. Maipu,A,30
164,1080,Delta,D,1105,Av. Maipu,A,30
166,1100,Delta,D,1125,Av. Maipu,A,30
168,1120,Delta,D,1145,Av. Maipu,A,30
170,1140,Delta,D,1165,Av. Maipu,A,30
172,1160,Delta,D,1185,Av. Maipu,A,15
174,1180,Delta,D,1205,Av. Maipu,A,15
176,1200,Delta,D,1225,Av. Maipu,A,15
178,1220,Delta,D,1245,Av. Maipu,A,15
180,1250,Delta,D,1275,Av. Maipu,A,15
