service id,hora,origen,tipo,hora,destino,tipo,demanda (pax)
101,410,Av. Maipu,D,435,Delta,A,150
103,440,Av. Maipu,D,465,Delta,A,150
105,460,Av. Maipu,D,485,Delta,A,150
107,480,Av. Maipu,D,505,Delta,A,300
109,500,Av. Maipu,D,525,Delta,A,350
111,520,Av. Maipu,D,545,Delta,A,300
113,540,Av. Maipu,D,565,Delta,A,300
115,560,Av. Maipu,D,585,Delta,A,300
117,580,Av. Maipu,D,605,Delta,A,300
119,600,Av. Maipu,D,625,Delta,A,300
121,620,Av. Maipu,D,645,Delta,A,150
123,640,Av. Maipu,D,665,Delta,A,150
125,660,Av. Maipu,D,685,Delta,A,150
127,680,Av. Maipu,D,705,Delta,A,150
129,700,Av. Maipu,D,725,Delta,A,150
131,720,Av. Maipu,D,745,Delta,A,150
133,740,Av. Maipu,D,765,Delta,A,150
135,770,Av. Maipu,D,795,Delta,A,150
137,800,Av. Maipu,D,825,Delta,A,150
139,830,Av. Maipu,D,855,Delta,A,150
141,860,Av. Maipu,D,885,Delta,A,150
143,890,Av. Maipu,D,915,Delta,A,150
145,920,Av. Maipu,D,945,Delta,A,150
147,950,Av. Maipu,D,975,Delta,A,150
149,970,Av. Maipu,D,995,Delta,A,150
151,990,Av. Maipu,D,1015,Delta,A,150
153,1010,Av. Maipu,D,1035,Delta,A,150
155,1030,Av. Maipu,D,1055,Delta,A,300
157,1050,Av. Maipu,D,1075,Delta,A,300
159,1070,Av. Maipu,D,1095,Delta,A,300
161,1090,Av. Maipu,D,1115,Delta,A,300
163,1110,Av. Maipu,D,1135,Delta,A,300
165,1130,Av. Maipu,D,1155,Delta,A,300
167,1150,Av. Maipu,D,1175,Delta,A,150
169,1170,Av. Maipu,D,1195,Delta,A,150
171,1190,Av. Maipu,D,1215,Delta,A,150
173,1210,Av. Maipu,D,1235,Delta,A,150
175,1230,Av. Maipu,D,1255,Delta,A,150
177,1250,Av. Maipu,D,1275,Delta,A,150
179,1280,Av. Maipu,D,1305,Delta,A,150
102,380,Delta,D,405,Av. Maipu,A,150
104,410,Delta,D,435,Av. Maipu,A,150
106,430,Delta,D,455,Av. Maipu,A,150
108,450,Delta,D,475,Av. Maipu,A,150
110,470,Delta,D,495,Av. Maipu,A,150
112,490,Delta,D,515,Av. Maipu,A,350
114,510,Delta,D,535,Av. Maipu,A,300
116,530,Delta,D,555,Av. Maipu,A,300
118,550,Delta,D,575,Av. Maipu,A,300
120,570,Delta,D,595,Av. Maipu,A,300
122,590,Delta,D,615,Av. Maipu,A,300
124,610,Delta,D,635,Av. Maipu,A,150
126,630,Delta,D,655,Av. Maipu,A,150
128,650,Delta,D,675,Av. Maipu,A,150
130,670,Delta,D,695,Av. Maipu,A,150
132,690,Delta,D,715,Av. Maipu,A,150
134,710,Delta,D,735,Av. Maipu,A,150
136,740,Delta,D,765,Av. Maipu,A,150
138,770,Delta,D,795,Av. Maipu,A,150
140,800,Delta,D,825,Av. Maipu,A,150
142,830,Delta,D,855,Av. Maipu,A,150
144,860,Delta,D,885,Av. Maipu,A,150
146,890,Delta,D,915,Av. Maipu,A,150
148,920,Delta,D,945,Av. Maipu,A,150
150,940,Delta,D,965,Av. Maipu,A,150
152,960,Delta,D,985,Av. Maipu,A,150
154,980,Delta,D,1005,Av. Maipu,A,150
156,1000,Delta,D,1025,Av. Maipu,A,150
158,1020,Delta,D,1045,Av. Maipu,A,300
160,1040,Delta,D,1065,Av. Maipu,A,300
162,1060,Delta,D,1085,Av. Maipu,A,300
164,1080,Delta,D,1105,Av. Maipu,A,300
166,1100,Delta,D,1125,Av. Maipu,A,300
168,1120,Delta,D,1145,Av. Maipu,A,300
170,1140,Delta,D,1165,Av. Maipu,A,300
172,1160,Delta,D,1185,Av. Maipu,A,150
174,1180,Delta,D,1205,Av. Maipu,A,150
176,1200,Delta,D,1225,Av. Maipu,A,150
178,1220,Delta,D,1245,Av. Maipu,A,150
180,1250,Delta,D,1275,Av. Maipu,A,150
