service id,hora,origen,tipo,hora,destino,tipo,demanda (pax)
101,410,Av. Maipu,D,435,Delta,A,20
103,440,Av. Maipu,D,465,Delta,A,20
105,460,Av. Maipu,D,485,Delta,A,20
107,480,Av. Maipu,D,505,Delta,A,20
109,500,Av. Maipu,D,525,Delta,A,20
111,520,Av. Maipu,D,545,Delta,A,20
113,540,Av. Maipu,D,565,Delta,A,20
115,560,Av. Maipu,D,585,Delta,A,20
117,580,Av. Maipu,D,605,Delta,A,20
119,600,Av. Maipu,D,625,Delta,A,20
121,620,Av. Maipu,D,645,Delta,A,20
123,640,Av. Maipu,D,665,Delta,A,20
125,660,Av. Maipu,D,685,Delta,A,20
127,680,Av. Maipu,D,705,Delta,A,20
129,700,Av. Maipu,D,725,Delta,A,20
131,720,Av. Maipu,D,745,Delta,A,20
133,740,Av. Maipu,D,765,Delta,A,20
135,770,Av. Maipu,D,795,Delta,A,20
137,800,Av. Maipu,D,825,Delta,A,20
139,830,Av. Maipu,D,855,Delta,A,20
141,860,Av. Maipu,D,885,Delta,A,20
143,890,Av. Maipu,D,915,Delta,A,20
145,920,Av. Maipu,D,945,Delta,A,20
147,950,Av. Maipu,D,975,Delta,A,20
149,970,Av. Maipu,D,995,Delta,A,20
151,990,Av. Maipu,D,1015,Delta,A,20
153,1010,Av. Maipu,D,1035,Delta,A,20
155,1030,Av. Maipu,D,1055,Delta,A,20
157,1050,Av. Maipu,D,1075,Delta,A,20
159,1070,Av. Maipu,D,1095,Delta,A,20
161,1090,Av. Maipu,D,1115,Delta,A,20
163,1110,Av. Maipu,D,1135,Delta,A,20
165,1130,Av. Maipu,D,1155,Delta,A,20
167,1150,Av. Maipu,D,1175,Delta,A,20
169,1170,Av. Maipu,D,1195,Delta,A,20
171,1190,Av. Maipu,D,1215,Delta,A,20
173,1210,Av. Maipu,D,1235,Delta,A,20
175,1230,Av. Maipu,D,1255,Delta,A,20
177,1250,Av. Maipu,D,1275,Delta,A,20
179,1280,Av. Maipu,D,1305,Delta,A,20
102,380,Delta,D,405,Av. Maipu,A,20
104,410,Delta,D,435,Av. Maipu,A,20
106,430,Delta,D,455,Av. Maipu,A,20
108,450,Delta,D,475,Av. Maipu,A,20
110,470,Delta,D,495,Av. Maipu,A,20
112,490,Delta,D,515,Av. Maipu,A,20
114,510,Delta,D,535,Av. Maipu,A,20
116,530,Delta,D,555,Av. Maipu,A,20
118,550,Delta,D,575,Av. Maipu,A,20
120,570,Delta,D,595,Av. Maipu,A,20
122,590,Delta,D,615,Av. Maipu,A,20
124,610,Delta,D,635,Av. Maipu,A,20
126,630,Delta,D,655,Av. Maipu,A,20
128,650,Delta,D,675,Av. Maipu,A,20
130,670,Delta,D,695,Av. Maipu,A,20
132,690,Delta,D,715,Av. Maipu,A,20
134,710,Delta,D,735,Av. Maipu,A,20
136,740,Delta,D,765,Av. Maipu,A,20
138,770,Delta,D,795,Av. Maipu,A,20
140,800,Delta,D,825,Av. Maipu,A,20
142,830,Delta,D,855,Av. Maipu,A,20
144,860,Delta,D,885,Av. Maipu,A,20
146,890,Delta,D,915,Av. Maipu,A,20
148,920,Delta,D,945,Av. Maipu,A,20
150,940,Delta,D,965,Av. Maipu,A,20
152,960,Delta,D,985,Av. Maipu,A,20
154,980,Delta,D,1005,Av. Maipu,A,20
156,1000,Delta,D,1025,Av. Maipu,A,20
158,1020,Delta,D,1045,Av. Maipu,A,20
160,1040,Delta,D,1065,Av. Maipu,A,20
162,1060,Delta,D,1085,Av. Maipu,A,20
164,1080,Delta,D,1105,Av. Maipu,A,20
166,1100,Delta,D,1125,Av. Maipu,A,20
168,1120,Delta,D,1145,Av. Maipu,A,20
170,1140,Delta,D,1165,Av. Maipu,A,20
172,1160,Delta,D,1185,Av. Maipu,A,20
174,1180,Delta,D,1205,Av. Maipu,A,20
176,1200,Delta,D,1225,Av. Maipu,A,20
178,1220,Delta,D,1245,Av. Maipu,A,20
180,1250,Delta,D,1275,Av. Maipu,A,20
